p_id,haptic_id,letter_id,trial_id,start_trial_time,curr_trial_time,total_trial_time,x_pos,y_pos,speed,acceleration,jerk,x_force,y_force
0,0,,0,1617570754208,1617570759887,5679,33.189823,13.585532,3.0,0.0,0.0,0.20234537,-0.45011947
0,0,,0,1617570754208,1617570759913,5705,33.22683,13.647331,3.0,0.0,0.0,0.358208,-0.40706947
0,0,,0,1617570754208,1617570759929,5721,33.248222,13.686169,3.0,0.0,0.0,0.40055862,-0.3864897
0,0,,0,1617570754208,1617570759938,5730,33.259087,13.705786,3.0,0.0,0.0,0.4339397,-0.34274834
0,0,,0,1617570754208,1617570759946,5738,33.270226,13.7265415,3.0,0.0,0.0,0.47836947,-0.33227235
0,0,,0,1617570754208,1617570759954,5746,33.27996,13.745255,3.0,0.0,0.0,0.49891883,-0.31506446
0,0,,0,1617570754208,1617570759963,5755,33.288727,13.762257,3.0,0.0,0.0,0.50766444,-0.26745197
0,0,,0,1617570754208,1617570759981,5773,33.30791,13.799593,3.0,0.0,0.0,0.5478531,-0.23416802
0,0,,0,1617570754208,1617570759989,5781,33.31644,13.8154335,3.0,0.0,0.0,0.576917,-0.20231086
0,0,,0,1617570754208,1617570759996,5788,33.324223,13.83158,3.0,0.0,0.0,0.6041645,-0.23005813
0,0,,0,1617570754208,1617570760005,5797,33.33252,13.8476515,3.0,0.0,0.0,0.6119047,-0.18501902
0,0,,0,1617570754208,1617570760013,5805,33.339924,13.862354,3.0,0.0,0.0,0.6292524,-0.18023878
0,0,,0,1617570754208,1617570760021,5813,33.34843,13.879944,3.0,0.0,0.0,0.66479445,-0.18203428
0,0,,0,1617570754208,1617570760029,5821,33.355217,13.894356,3.0,0.0,0.0,0.6483561,-0.12994242
0,0,,0,1617570754208,1617570760047,5839,33.36908,13.9235115,3.0,0.0,0.0,0.6770321,-0.12359804
0,0,,0,1617570754208,1617570760055,5847,33.37543,13.937201,3.0,0.0,0.0,0.7179924,-0.11484903
0,0,,0,1617570754208,1617570760072,5864,33.388145,13.966241,3.0,0.0,0.0,0.70074403,-0.084840804
0,0,,0,1617570754208,1617570760080,5872,33.393353,13.978732,3.0,0.0,0.0,0.7179179,-0.06737551
0,0,,0,1617570754208,1617570760097,5889,33.403908,14.006689,3.0,0.0,0.0,0.7115299,-0.11803195
0,0,,0,1617570754208,1617570760105,5897,33.40891,14.023505,3.0,0.0,0.0,0.71739036,-0.15418246
0,0,,0,1617570754208,1617570760113,5905,33.412296,14.039882,3.0,0.0,0.0,0.6744588,-0.16850692
0,0,,0,1617570754208,1617570760131,5923,33.4191,14.080287,3.0,0.0,0.0,0.5873314,-0.2609216
0,0,,0,1617570754208,1617570760138,5930,33.42031,14.096979,3.0,0.0,0.0,0.50851244,-0.2676376
0,0,,0,1617570754208,1617570760147,5939,33.42052,14.116455,3.0,0.0,0.0,0.4539235,-0.3020898
0,0,,0,1617570754208,1617570760155,5947,33.42035,14.139524,1.0,-2.0,-2.0,0.3569374,-0.34197006
0,0,,0,1617570754208,1617570760172,5964,33.417965,14.186199,1.0,-2.0,-2.0,0.17582403,-0.41887984
0,0,,0,1617570754208,1617570760180,5972,33.416027,14.205835,1.0,-2.0,-2.0,0.085602656,-0.44588104
0,0,,0,1617570754208,1617570760189,5981,33.412525,14.231699,1.0,-2.0,-2.0,-0.051883556,-0.5155445
0,0,,0,1617570754208,1617570760197,5989,33.408794,14.254606,1.0,-2.0,-2.0,-0.164545,-0.54410684
0,0,,0,1617570754208,1617570760205,5997,33.404366,14.27784,1.0,-2.0,-2.0,-0.2921317,-0.5973458
0,0,,0,1617570754208,1617570760222,6014,33.393246,14.333264,1.0,-2.0,-2.0,-0.56999946,-0.71393824
0,0,,0,1617570754208,1617570760230,6022,33.38809,14.355553,1.0,-2.0,-2.0,-0.70028853,-0.7709245
0,0,,0,1617570754208,1617570760238,6030,33.38078,14.384569,1.0,-2.0,-2.0,-0.86561984,-0.82592934
0,0,,0,1617570754208,1617570760255,6047,33.364872,14.440924,1.0,-2.0,-2.0,-1.2006176,-0.94227386
0,0,,0,1617570754208,1617570760264,6056,33.356457,14.468036,1.0,-2.0,-2.0,-1.3883649,-0.98803455
0,0,,0,1617570754208,1617570760272,6064,33.34575,14.497882,1.0,-2.0,-2.0,-1.5802182,-1.0529271
0,0,,0,1617570754208,1617570760288,6080,33.32543,14.552334,1.0,-2.0,-2.0,-1.9508176,-1.2086946
0,0,,0,1617570754208,1617570760297,6089,33.276382,14.679564,1.0,-2.0,-2.0,-2.6148417,-1.2157772
0,0,,0,1617570754208,1617570760305,6097,33.24015,14.771211,1.0,-2.0,-2.0,-3.2019863,-1.3142562
0,0,,0,1617570754208,1617570760313,6105,33.211536,14.84153,1.0,-2.0,-2.0,-3.2714448,-1.2440451
0,0,,0,1617570754208,1617570760322,6114,33.192097,14.887898,1.0,-2.0,-2.0,-3.2833352,-1.2123164
0,0,,0,1617570754208,1617570760330,6122,33.17419,14.929522,1.0,-2.0,-2.0,-3.295986,-1.1774874
0,0,,0,1617570754208,1617570760365,6157,33.112278,15.0981,1.0,-2.0,-2.0,0.025211887,0.0636963
0,0,,0,1617570754208,1617570760372,6164,33.119293,15.077718,1.0,-2.0,-2.0,-0.017947912,-0.043407667
0,0,,0,1617570754208,1617570760380,6172,33.10168,15.118352,1.0,-2.0,-2.0,0.0031348947,0.008864204
0,0,,0,1617570754208,1617570760389,6181,33.101337,15.118076,1.0,-2.0,-2.0,-0.009391285,-0.020999635
